Name,Authors,Publication Info,Year,URL
HistoMapr™: An Explainable AI (xAI) Platform for Computational Pathology Solutions,"AB Tosun, F Pullara, MJ Becich, DL Taylor…",Artificial Intelligence and … - Springer,2020,https://drive.google.com/file/d/1Vzb8uDiN8liVlQ4SsxNyN7t18AxBHcb6/view
A bibliometric analysis of the explainable artificial intelligence research field,"JM Alonso, C Castiello, C Mencar",International conference on … - Springer,2018,https://www.researchgate.net/profile/Jose-Alonso-14/publication/325214028_A_Bibliometric_Analysis_of_the_Explainable_Artificial_Intelligence_Research_Field/links/605b953b299bf17367685d41/A-Bibliometric-Analysis-of-the-Explainable-Artificial-Intelligence-Research-Field.pdf
Urban vegetation mapping from aerial imagery using explainable AI (XAI),"A Abdollahi, B Pradhan",Sensors - mdpi.com,2021,https://www.mdpi.com/1424-8220/21/14/4738/pdf
Detecting climate signals using explainable AI with single‐forcing large ensembles,"ZM Labe, EA Barnes",Journal of Advances in Modeling Earth … - Wiley Online Library,2021,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2021MS002464
Revealing drivers and risks for power grid frequency stability with explainable AI,"J Kruse, B Schäfer, D Witthaut",Patterns - cell.com,2021,https://www.cell.com/patterns/pdfExtended/S2666-3899(21)00227-0
The challenges of integrating explainable artificial intelligence into GeoAI,"J Xing, R Sieber",Transactions in GIS - Wiley Online Library,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tgis.13045
Increasing transparency in algorithmic-decision-making with explainable AI,"B Waltl, R Vogl",Datenschutz und Datensicherheit-DuD - Springer,2018,
"A survey on medical explainable AI (XAI): recent progress, explainability approach, human interaction and scoring system","RK Sheu, MS Pardeshi",Sensors - mdpi.com,2022,https://www.mdpi.com/1424-8220/22/20/8068/pdf
""" Do you trust me?"" Increasing user-trust by integrating virtual agents in explainable AI interaction design","K Weitz, D Schiller, R Schlagowski, T Huber…",Proceedings of the 19th … - dl.acm.org,2019,https://opus.bibliothek.uni-augsburg.de/opus4/files/65191/X_Plane_IVA_2019_EA.pdf
Introduction to explainable AI and intelligent transportation,"L Gaur, BM Sahoo",Explainable artificial intelligence for intelligent … - Springer,2022,
Explainable artificial intelligence: an introduction to interpretable machine learning,Unknown,Unknown,Unknown,
Explainable artificial intelligence for tabular data: A survey,"M Sahakyan, Z Aung, T Rahwan",IEEE access - ieeexplore.ieee.org,2021,https://ieeexplore.ieee.org/iel7/6287639/6514899/09551946.pdf
Understanding electricity prices beyond the merit order principle using explainable AI,"J Trebbien, LR Gorjão, A Praktiknjo, B Schäfer…",Energy and AI - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S2666546823000228
"Explainable AI: roles and stakeholders, desirements and challenges","RR Hoffman, ST Mueller, G Klein…",Frontiers in Computer … - frontiersin.org,2023,https://www.frontiersin.org/articles/10.3389/fcomp.2023.1117848/pdf
Explainability pitfalls: Beyond dark patterns in explainable AI,"U Ehsan, MO Riedl",Patterns - cell.com,2024,https://www.cell.com/patterns/pdf/S2666-3899(24)00079-5.pdf
Knowledge graphs and explainable ai in healthcare,"E Rajabi, S Kafaie",Information - mdpi.com,2022,https://www.mdpi.com/2078-2489/13/10/459/pdf
Explainable artificial intelligence for cybersecurity: a literature survey,"F Charmet, HC Tanuwidjaja, S Ayoubi…",Annals of … - Springer,2022,https://link.springer.com/content/pdf/10.1007/s12243-022-00926-7.pdf
The role of domain expertise in trusting and following explainable AI decision support systems,"S Bayer, H Gimpel, M Markgraf",Journal of Decision Systems - Taylor & Francis,2022,
An explainable AI-based intrusion detection system for DNS over HTTPS (DoH) attacks,"T Zebin, S Rezvy, Y Luo",IEEE Transactions on Information … - ieeexplore.ieee.org,2022,https://ueaeprints.uea.ac.uk/id/eprint/85477/1/T_IFS_13877_2021.R2_Proof_hi.pdf
Explainable AI via learning to optimize,"H Heaton, SW Fung",Scientific Reports - nature.com,2023,https://www.nature.com/articles/s41598-023-36249-3.pdf
Secondary control activation analysed and predicted with explainable AI,"J Kruse, B Schäfer, D Witthaut",Electric power systems research - Elsevier,2022,https://arxiv.org/pdf/2109.04802
Who needs explanation and when? Juggling explainable AI and user epistemic uncertainty,"J Jiang, S Kahai, M Yang",International Journal of Human-Computer … - Elsevier,2022,https://drive.google.com/file/d/1a90D506VF_YHqvGeEqnryrn_UjDdRJuG/view
Data-driven early diagnosis of chronic kidney disease: development and evaluation of an explainable AI model,PA Moreno-Sánchez,IEEE Access - ieeexplore.ieee.org,2023,https://ieeexplore.ieee.org/iel7/6287639/6514899/10091536.pdf
The enlightening role of explainable artificial intelligence in medical & healthcare domains: A systematic literature review,"S Ali, F Akhlaq, AS Imran, Z Kastrati…",Computers in Biology … - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S001048252301020X
Practical early prediction of students' performance using machine learning and eXplainable AI,"Y Jang, S Choi, H Jung, H Kim",Education and Information Technologies - Springer,2022,https://www.researchgate.net/profile/Yeonju-Jang/publication/361226750_Practical_early_prediction_of_students%27_performance_using_machine_learning_and_eXplainable_AI/links/64d20dd840a524707ba526a9/Practical-early-prediction-of-students-performance-using-machine-learning-and-eXplainable-AI.pdf
A multi-component framework for the analysis and design of explainable artificial intelligence,"MY Kim, S Atakishiyev, HKB Babiker…",Machine Learning and … - mdpi.com,2021,https://www.mdpi.com/2504-4990/3/4/45/pdf
On the road to explainable AI in drug-drug interactions prediction: A systematic review,"TH Vo, NTK Nguyen, QH Kha, NQK Le",Computational and Structural … - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S2001037022001386
Knowledge-intensive language understanding for explainable ai,"A Sheth, M Gaur, K Roy, K Faldu",IEEE Internet Computing - ieeexplore.ieee.org,2021,https://ieeexplore.ieee.org/ielaam/4236/9565405/9514440-aam.pdf
Novel insights in spatial epidemiology utilizing explainable AI (XAI) and remote sensing,"A Temenos, IN Tzortzis, M Kaselimi, I Rallis…",Remote Sensing - mdpi.com,2022,https://www.mdpi.com/2072-4292/14/13/3074/pdf
Designing ECG monitoring healthcare system with federated transfer learning and explainable AI,"A Raza, KP Tran, L Koehl, S Li",Knowledge-Based Systems - Elsevier,2022,https://www.sciencedirect.com/science/article/am/pii/S0950705121009862
Explainable ai for interpretable credit scoring,"LM Demajo, V Vella, A Dingli",arXiv preprint arXiv:2012.03749 - arxiv.org,2020,https://arxiv.org/pdf/2012.03749
But are you sure? an uncertainty-aware perspective on explainable ai,"C Marx, Y Park, H Hasson, Y Wang…",… Artificial Intelligence … - proceedings.mlr.press,2023,https://proceedings.mlr.press/v206/marx23a/marx23a.pdf
Explainable artificial intelligence for neuroscience: behavioral neurostimulation,"JM Fellous, G Sapiro, A Rossi, H Mayberg…",Frontiers in … - frontiersin.org,2019,https://www.frontiersin.org/articles/10.3389/fnins.2019.01346/pdf
An explainable ai-based fault diagnosis model for bearings,"MJ Hasan, M Sohaib, JM Kim",Sensors - mdpi.com,2021,https://www.mdpi.com/1424-8220/21/12/4070/pdf
Explainable AI for financial forecasting,"S Carta, AS Podda, D Reforgiato Recupero…",… Conference on Machine … - Springer,2021,
Improving understandability of feature contributions in model-agnostic explainable AI tools,"S Hadash, MC Willemsen, C Snijders…",Proceedings of the 2022 … - dl.acm.org,2022,https://dl.acm.org/doi/pdf/10.1145/3491102.3517650
A new SVDD approach to reliable and explainable AI,"A Carlevaro, M Mongelli",IEEE Intelligent Systems - ieeexplore.ieee.org,2021,
Explainable artificial intelligence (XAI),A Duval,"MA4K9 Scholarly Report, Mathematics Institute, The … - researchgate.net",2019,https://www.researchgate.net/profile/Alexandre-Duval-2/publication/332209054_Explainable_Artificial_Intelligence_XAI/links/5ca6269aa6fdcca26dfec0cd/Explainable-Artificial-Intelligence-XAI.pdf
Why to buy insurance? An explainable artificial intelligence approach,"A Gramegna, P Giudici",Risks - mdpi.com,2020,https://www.mdpi.com/2227-9091/8/4/137/pdf
Special issue on explainable artificial intelligence (XAI),"T Miller, R Hoffman, O Amir, A Holzinger",Artificial Intelligence - Elsevier,2022,
Explainable AI (XAI) models applied to the multi-agent environment of financial markets,"JJ Ohana, S Ohana, E Benhamou, D Saltiel…",Explainable and … - Springer,2021,
Explainable artificial intelligence models using real-world electronic health record data: a systematic scoping review,"SN Payrovnaziri, Z Chen…",Journal of the … - academic.oup.com,2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7647281/
Explainable AI for practitioners,Unknown,Unknown,Unknown,
Explainable AI: current status and future potential,BHM van der Velden,European Radiology - Springer,2024,https://link.springer.com/content/pdf/10.1007/s00330-023-10121-4.pdf
An Interrogative Survey of Explainable AI in Manufacturing,"Z Alexander, DH Chau…",IEEE Transactions on … - ieeexplore.ieee.org,2024,
Deep-learned faces of pain and emotions: Elucidating the differences of facial expressions with the help of explainable AI methods,"K Weitz, T Hassan, U Schmid, JU Garbas",tm-Technisches Messen - degruyter.com,2019,https://opus.bibliothek.uni-augsburg.de/opus4/files/65208/Weitz_et_al__2019__Deep-learned_faces.pdf
Shapley-Lorenz eXplainable artificial intelligence,"P Giudici, E Raffinetti",Expert systems with applications - Elsevier,2021,https://air.unimi.it/bitstream/2434/778573/2/EXPERT_SYSTEMS_WITH_APPLICATIONS_2020.pdf
Research Agenda for Basic Explainable AI.,"R Lukyanenko, A Castellanos, BM Samuel…",AMCIS - researchgate.net,2021,https://www.researchgate.net/profile/Roman-Lukyanenko/publication/351023997_Research_Agenda_for_Basic_Explainable_AI/links/608017998ea909241e127f48/Research-Agenda-for-Basic-Explainable-AI.pdf
Human-centered explainable AI (HCXAI): coming of age,"U Ehsan, P Wintersberger, EA Watkins…",Extended abstracts of … - dl.acm.org,2023,https://www.researchgate.net/profile/Upol-Ehsan/publication/370177695_Human-Centered_Explainable_AI_HCXAI_Coming_of_Age/links/6634345506ea3d0b742383fb/Human-Centered-Explainable-AI-HCXAI-Coming-of-Age.pdf
AI employment decision-making: integrating the equal opportunity merit principle and explainable AI,GKY Chan,AI & SOCIETY - Springer,2022,
New frontiers in explainable AI: understanding the GI to interpret the GO,"F Cabitza, A Campagner, D Ciucci",… Knowledge Extraction: Third IFIP TC 5 … - Springer,2019,https://inria.hal.science/hal-02520038/document
Explainable artificial intelligence model to predict acute critical illness from electronic health records,"SM Lauritsen, M Kristensen, MV Olsen…",Nature … - nature.com,2020,https://www.nature.com/articles/s41467-020-17431-x.pdf
Explainablefold: Understanding alphafold prediction with explainable ai,"J Tan, Y Zhang",Proceedings of the 29th ACM SIGKDD Conference on … - dl.acm.org,2023,https://arxiv.org/pdf/2301.11765
Explainable AI for healthcare: from black box to interpretable models,"A Adadi, M Berrada",Embedded systems and artificial intelligence … - Springer,2020,
A call for more explainable AI in law enforcement,"R Matulionyte, A Hanif",2021 IEEE 25th International Enterprise … - ieeexplore.ieee.org,2021,https://www.researchgate.net/profile/Ambreen-Hanif/publication/356703692_A_call_for_more_explainable_AI_in_law_enforcement/links/633f7d63ff870c55ce06c3d2/A-call-for-more-explainable-AI-in-law-enforcement.pdf
Explainable ai for the choquet integral,"BJ Murray, MA Islam, AJ Pinar…",… on Emerging Topics … - ieeexplore.ieee.org,2020,
"Applications of explainable artificial intelligence in finance—a systematic review of finance, information systems, and computer science literature","P Weber, KV Carl, O Hinz",Management Review Quarterly - Springer,2024,https://link.springer.com/content/pdf/10.1007/s11301-023-00320-0.pdf
Explainable AI: a hybrid approach to generate human-interpretable explanation for deep learning prediction,"T De, P Giri, A Mevawala, R Nemani, A Deo",Procedia Computer Science - Elsevier,2020,https://www.sciencedirect.com/science/article/pii/S187705092030394X/pdf?md5=e9050eb291225770e4405ec147f7423a&pid=1-s2.0-S187705092030394X-main.pdf
Explainable AI lacks regulative reasons: why AI and human decision-making are not equally opaque,U Peters,AI and Ethics - Springer,2023,https://link.springer.com/content/pdf/10.1007/s43681-022-00217-w.pdf
Towards the augmented pathologist: Challenges of explainable-ai in digital pathology,"A Holzinger, B Malle, P Kieseberg, PM Roth…",arXiv preprint arXiv … - arxiv.org,2017,https://arxiv.org/pdf/1712.06657
An explainable AI approach for the rapid diagnosis of COVID-19 using ensemble learning algorithms,"H Gong, M Wang, H Zhang, MF Elahe…",Frontiers in Public … - frontiersin.org,2022,https://www.frontiersin.org/articles/10.3389/fpubh.2022.874455/pdf
Vibration signals analysis by explainable artificial intelligence (XAI) approach: Application on bearing faults diagnosis,"HY Chen, CH Lee",IEEE Access - ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/iel7/6287639/8948470/09131692.pdf
Trustworthy versus explainable AI in autonomous vessels,"JA Glomsrud, A Ødegårdstuen, ALS Clair…",Proceedings of the … - researchgate.net,2019,https://www.researchgate.net/profile/Jon-Glomsrud/publication/336210763_Trustworthy_versus_Explainable_AI_in_Autonomous_Vessels/links/5d94884b299bf10cff20f43c/Trustworthy-versus-Explainable-AI-in-Autonomous-Vessels.pdf
Explainable AI as evidence of fair decisions,D Leben,Frontiers in Psychology - frontiersin.org,2023,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1069426/pdf
Example-based explainable AI and its application for remote sensing image classification,"S Ishikawa, M Todo, M Taki, Y Uchiyama…",International Journal of … - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S1569843223000377
"Co-design of human-centered, explainable AI for clinical decision support","C Panigutti, A Beretta, D Fadda, F Giannotti…",ACM Transactions on … - dl.acm.org,2023,https://dl.acm.org/doi/pdf/10.1145/3587271
A new perspective on evaluation methods for explainable artificial intelligence (xai),"T Speith, M Langer",2023 IEEE 31st International … - ieeexplore.ieee.org,2023,https://arxiv.org/pdf/2307.14246
Explainable AI tools for legal reasoning about cases: A study on the European Court of Human Rights,"J Collenette, K Atkinson, T Bench-Capon",Artificial Intelligence - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S0004370223000073
